hunspell 1.7.3-1.1
hwdata 0.410-1
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1.1
hwloc 2.14.0-1.1
hyphen 2.8.9-1.1
hyprcursor 0.1.13-7.1
hyprgraphics 0.5.1-4.1
hyprland 0.56.2-1
hyprland-guiutils 0.2.2-2.1
hyprlang 0.6.8-5.1
hyprpicker 0.4.7-2.1
hyprtoolkit 0.5.4-4.1
hyprutils 0.14.0-1.1
hyprwayland-scanner 0.4.6-1.1
hyprwire 0.3.1-3.1
iana-etc 20260530-1
icu 78.3-1.1
imagemagick 7.1.2.29-1.1
imath 3.2.2-6.1
imlib2 1.12.6-2.1
inetutils 2.8-1.1
iniparser 4.2.6-2.1
inxi 3.3.41.1-1
iproute2 7.1.0-1.1
iptables 1:1.8.13-1.1
iputils 20250605-1.1
iso-codes 4.20.1-1
iw 6.17-1.1
iwd 3.12-1.1
jack2 1.9.22-2.1
jansson 2.15.0-1.1
jbigkit 2.1-8.1
jemalloc 1:5.3.1-3.1
jfsutils 1.1.15-9.1
jq 1.8.2-1.1
json-c 0.19-1.1
json-glib 1.10.8-1.1
karchive 6.28.0-1.1
kbd 2.10.0-1.1
kbookmarks 6.28.0-1.1
kcmutils 6.28.0-1.1
kcodecs 6.28.0-1.1
kcolorscheme 6.28.0-1.1
kcompletion 6.28.0-1.1
kconfig 6.28.0-1.1
kconfigwidgets 6.28.0-1.1
kcoreaddons 6.28.0-1.1
kcrash 6.28.0-1.1
kdbusaddons 6.28.0-1.1
kde-cli-tools 6.7.4-1.1
kdesu 6.28.0-1.1
kdnssd 6.28.0-1.1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3.1
keyutils 1.6.3-4.1
kfilemetadata 6.28.0-1.1
kglobalaccel 6.28.0-1.1
kguiaddons 6.28.0-1.1
ki18n 6.28.0-1.1
kiconthemes 6.28.0-1.1
kidletime 6.28.0-1.1
kio 6.28.0-1.1
kio-extras 26.04.3-1.1
kirigami 6.28.0-1.1
kitemviews 6.28.0-1.1
kitty 0.48.2-1.1
kitty-shell-integration 0.48.2-1.1
kitty-terminfo 0.48.2-1.1
kjobwidgets 6.28.0-1.1
kmod 34.2-1
knewstuff 6.28.0-1.1
knotifications 6.28.0-1.1
kpackage 6.28.0-1.1
kparts 6.28.0-1.1
kpty 6.28.0-1.1
krb5 1.22.2-1.1
kservice 6.28.0-1.1
ktextwidgets 6.28.0-1.1
kuserfeedback 6.28.0-1.1
kwallet 6.28.0-1.1
kwidgetsaddons 6.28.0-1.1
kwindowsystem 6.28.0-1.1
kxmlgui 6.28.0-1.1
l-smash 2.14.5-4.1
lame 4.0-1.1
lapack 3.12.1-2.1
lcms2 2.19.1-1.1
ldb 2:4.24.5-1.1
leancrypto 1.8.0-1.1
